ID;Name;Description;Base Planning Level;Stored Key Figure;Calculated Key Figure;Alert Key Figure;Helper Key Figure;Generated Key Figure;Attribute Transformation;Used in Key Figures;Business Meaning;Enable Change History;Enable Planning Notes;Planning Level for Planning Notes;Enable Fixing;Order Key Figure Quantity;Aggregation Mode;Disaggregation Mode;Proportionality;Key Figure for Proportionality;Period Weight Factor;Conversion Mode;Conversion Type;Unit of Measure Conversion Configuration;Currency Conversion Configuration;Disaggregation Expression;Edit Allowed;Input/Output for Supply Planning;Input/Output for TS Forecast Consumption;Convert Using;Aggregated Constraint;Decimals;Display Format;L Script;Calculation Definitions;Snapshot Key Figure;Input Key Figures;Created By;Created On (UTC);Changed By;Changed On (UTC);Active;Hashtags;Distance from Data Source;Key Figure Notes;Calculation Notes
ACTUALSQTY;Actuals Qty;Actuals Qty;PERPRODCUST;X;;;;;;ACTUALSQTYOFFSET1YR;;;;;;;Sum;;;;;Custom or None;;;;;Not Editable;;;;;6;;;ACTUALSQTY@REQUEST = SUM(ACTUALSQTY@PERPRODCUST);;ACTUALSQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
ACTUALSQTYOFFSET1YR;Previous Year Sales;Previous Year Sales;PERPRODCUST;;X;;;;;;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;ACTUALSQTYOFFSET1YR@REQUEST = SUM(ACTUALSQTYOFFSET1YR@PERPRODCUST);;ACTUALSQTYOFFSET1YR;CB8980000051;2026-01-17T18:14:58.000Z;CB8980000051;2026-01-17T18:14:58.000Z;A;;2;;
ACTUALSQTYOFFSET1YR;Previous Year Sales;Previous Year Sales;PERPRODCUST;;X;;;;;;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;"ACTUALSQTYOFFSET1YR@PERPRODCUST = IBP_PERIODSHIFT(ACTUALSQTY@PERPRODCUST,12)";;ACTUALSQTY;CB8980000051;2026-01-17T18:14:58.000Z;CB8980000051;2026-01-17T18:14:58.000Z;A;;2;;
ACTUALSQTYOFFSETSTORED;Previous Year History (Stored);Previous Year History (Stored);PERPRODCUST;X;;;;;;;;;;;;;Sum;;;;;Custom or None;;;;;Not Editable;;;;;6;;;ACTUALSQTYOFFSETSTORED@REQUEST = SUM(ACTUALSQTYOFFSETSTORED@PERPRODCUST);;ACTUALSQTYOFFSETSTORED;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
CAPACONSUMPTION;Capacity Consumption;Capacity Consumption;PERPRODLOCRES;X;;;;;;CAPADEMAND;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;CAPACONSUMPTION@REQUEST = SUM(CAPACONSUMPTION@PERPRODLOCRES);;CAPACONSUMPTION;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
CAPADEMAND;Unconstrained Load;Unconstrained Load;PERPRODLOCRES;;X;;;;;"HCAPADEMAND, CAPAOVERLOADALERT";;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;CAPADEMAND@PERLOCRES = SUM(CAPADEMAND@PERPRODLOCRES);;CAPADEMAND;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;5;;
CAPADEMAND;Unconstrained Load;Unconstrained Load;PERPRODLOCRES;;X;;;;;"HCAPADEMAND, CAPAOVERLOADALERT";;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;CAPADEMAND@REQUEST = SUM(CAPADEMAND@PERPRODLOCRES);;CAPADEMAND;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;5;;
CAPADEMAND;Unconstrained Load;Unconstrained Load;PERPRODLOCRES;;X;;;;;"HCAPADEMAND, CAPAOVERLOADALERT";;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;CAPADEMAND@PERPRODLOCRES = DEPENDENTDEMANDQTY@PERPRODLOC  *  CAPACONSUMPTION@PERPRODLOCRES;;"CAPACONSUMPTION, DEPENDENTDEMANDQTY";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;5;;
CAPADEMANDUTILPCT;Utilization Pct;Utilization Pct;PERLOCRES;X;X;;;;;;;;;;;;Sum;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;"CAPADEMANDUTILPCT@REQUEST = IF(ISNULL(CAPASUPPLY@REQUEST) OR CAPASUPPLY@REQUEST = 0 , 0, HCAPADEMAND@REQUEST / CAPASUPPLY@REQUEST)";;"CAPASUPPLY, HCAPADEMAND";CB8980000051;2026-01-09T11:07:39.000Z;CB8980000051;2026-01-09T11:07:39.000Z;A;;8;;
CAPAOVERLOADALERT;Capacity Overload Alert;Capacity Overload Alert;PERLOCRES;;X;X;;;;;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;"CAPAOVERLOADALERT@PERLOCRES = IF(CAPADEMAND@PERLOCRES > CAPASUPPLY@PERLOCRES, 1, 0)";;"CAPADEMAND, CAPASUPPLY";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;7;;
