Planning Level;Description;Master Data Type ID;Attribute ID;Root;Data Source;Tightly Coupled Master Data Type;Automatically Create Planning Objects;Delete Planning Objects Only If Master Data Is Deleted;Referenced Column;Conversion Source;Conversion Target;Created By;Created On (UTC);Changed By;Changed On (UTC);Active
MTHPRODLOC;Month / Product / Location;;1-Monthly;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;;2-Quarterly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;;3-Yearly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22LOCATION;LOCDESCR-Location;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22LOCATION;LOCID-Location ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22PRODUCT;ABCCODE-ABC Code;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22PRODUCT;PRDDESCR-Product Desc;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22PRODUCT;PRDFAMILY-Product Family;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
MTHPRODLOC;Month / Product / Location;I22PRODUCT;PRDID-Product ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;;1-Monthly;X;;;;;;;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;;2-Quarterly;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;;3-Yearly;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;I22CURRENCY;I22CURRDESCR-Currency Description 22;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;I22CURRENCY;I22CURRID-Currency From 22;X;;;;;;X;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;I22CURRENCYTO;I22CURRTODESCR-Currency To Description22;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERCURRCURRTO;Period | Currency | Currency To;I22CURRENCYTO;I22CURRTOID-Currency To 22;X;;;;;;;X;CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:48:01 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;;1-Monthly;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;;2-Quarterly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;;3-Yearly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;;PERIODID;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;I22LOCATION;LOCDESCR-Location;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;I22LOCATION;LOCID-Location ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;I22RESOURCE;RESDESCR-Resource Desc.;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERLOCRES;Period / Location / Resource;I22RESOURCE;RESID-Resource ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;;1-Monthly;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;;2-Quarterly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;;3-Yearly;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;;PERIODID;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22CUSTOMER;CUSTDESCR-Customer Desc.;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22CUSTOMER;CUSTID-Customer ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22CUSTOMER;CUSTREGION-Customer Region;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22PRODUCT;ABCCODE-ABC Code;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22PRODUCT;PRDDESCR-Product Desc;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22PRODUCT;PRDFAMILY-Product Family;;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUST;Period / Product / Customer;I22PRODUCT;PRDID-Product ID;X;;;;;;;;CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);CB8980000051;Wed Jan 07 2026 12:44:35 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;;1-Monthly;X;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;;2-Quarterly;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;;3-Yearly;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;;PERIODID;;;;;;;;;CB8980000051;Fri Jan 09 2026 23:26:37 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 23:26:37 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;I22CURRENCY;I22CURRDESCR-Currency Description 22;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;I22CURRENCY;I22CURRID-Currency From 22;X;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;I22CUSTOMER;CUSTDESCR-Customer Desc.;;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
PERPRODCUSTCURR;Period | Product | Customer | Currency;I22CUSTOMER;CUSTID-Customer ID;X;;;;;;;;CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);CB8980000051;Fri Jan 09 2026 19:41:21 GMT+0530 (India Standard Time);A
